Source,Target,Weight,Emiten,Position,Company
 YUSLIH IHZA MAHENDRA ,TIMAH TBK.,4,TINS, COMMISSIONER  - INDEPENDENT,TIMAH TBK.
 RIZANI USMAN ,TIMAH TBK.,4,TINS, COMMISSIONER ,TIMAH TBK.
 M. HITA TUNGGAL ,TIMAH TBK.,4,TINS, COMMISSIONER  - INDEPENDENT,TIMAH TBK.
 ENIYA LISTIANI DEWI ,TIMAH TBK.,4,TINS, COMMISSIONER ,TIMAH TBK.
 HARRY KURNIAWAN ,TIRA AUSTENITE TBK,4,TIRA, COMMISSIONER  - INDEPENDENT,TIRA AUSTENITE TBK
 SELO WINARDI ,TIRA AUSTENITE TBK,4,TIRA, COMMISSIONER ,TIRA AUSTENITE TBK
 RUDIANTO DARMAWAN SANTOSO ,TIRA AUSTENITE TBK,4,TIRA, COMMISSIONER ,TIRA AUSTENITE TBK
 ABYASA KAMDANI ,TIRA AUSTENITE TBK,4,TIRA, PRESIDENT COMMISIONER ,TIRA AUSTENITE TBK
 ELY ,TIRA AUSTENITE TBK,4,TIRA, COMMISSIONER  - INDEPENDENT,TIRA AUSTENITE TBK
 LIM GUNARDI HARIYANTO ,TIRTA MAHAKAM RESOURCES TBK,4,TIRT, PRESIDENT COMMISIONER ,TIRTA MAHAKAM RESOURCES TBK
 HENDRA SURYA ,TIRTA MAHAKAM RESOURCES TBK,4,TIRT, COMMISSIONER  - INDEPENDENT,TIRTA MAHAKAM RESOURCES TBK
" DR. SALEH HUSIN , SE, MSI ",PABRIK KERTAS TJIWI KIMIA TBK.,4,TKIM, PRESIDENT COMMISIONER ,PABRIK KERTAS TJIWI KIMIA TBK.
 HENDRA JAYA KOSASIH ,PABRIK KERTAS TJIWI KIMIA TBK.,4,TKIM, COMMISSIONER ,PABRIK KERTAS TJIWI KIMIA TBK.
 SUKIRTA MANGKU DJAJA ,PABRIK KERTAS TJIWI KIMIA TBK.,4,TKIM, COMMISSIONER ,PABRIK KERTAS TJIWI KIMIA TBK.
 ANDRIE SETIAWAN YAPSIR ,PABRIK KERTAS TJIWI KIMIA TBK.,4,TKIM, COMMISSIONER ,PABRIK KERTAS TJIWI KIMIA TBK.
" DR. IR. RIZAL AFFANDI LUKMAN,M.A. ",PABRIK KERTAS TJIWI KIMIA TBK.,4,TKIM, COMMISSIONER  - INDEPENDENT,PABRIK KERTAS TJIWI KIMIA TBK.
 PROF. WIDYO PRAMONO ,PABRIK KERTAS TJIWI KIMIA TBK.,4,TKIM, COMMISSIONER  - INDEPENDENT,PABRIK KERTAS TJIWI KIMIA TBK.
 SURYAMIN HALIM ,PABRIK KERTAS TJIWI KIMIA TBK.,4,TKIM, COMMISSIONER  - INDEPENDENT,PABRIK KERTAS TJIWI KIMIA TBK.
 INDRACAHYA BASUKI ,TELADAN PRIMA AGRO TBK.,4,TLDN, PRESIDENT COMMISIONER ,TELADAN PRIMA AGRO TBK.
 IWA KARTIWA HUDAYA ,TELADAN PRIMA AGRO TBK.,4,TLDN, COMMISSIONER  - INDEPENDENT,TELADAN PRIMA AGRO TBK.
 ANGGA RAKA PRABOWO ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, PRESIDENT COMMISIONER ,TELKOM INDONESIA (PERSERO) TBK.
 ROFIKOH ROKHIM ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, COMMISSIONER  - INDEPENDENT,TELKOM INDONESIA (PERSERO) TBK.
 DESWANDHY AGUSMAN ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, COMMISSIONER  - INDEPENDENT,TELKOM INDONESIA (PERSERO) TBK.
 RIZAL MALARANGENG ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, COMMISSIONER ,TELKOM INDONESIA (PERSERO) TBK.
 SILMY KARIM ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, COMMISSIONER ,TELKOM INDONESIA (PERSERO) TBK.
 OSSY DERMAWAN ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, COMMISSIONER ,TELKOM INDONESIA (PERSERO) TBK.
 IRA NOVIARTI ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, COMMISSIONER  - INDEPENDENT,TELKOM INDONESIA (PERSERO) TBK.
 RIONALD SILABAN ,TELKOM INDONESIA (PERSERO) TBK.,4,TLKM, COMMISSIONER ,TELKOM INDONESIA (PERSERO) TBK.
 HARTO KHUSUMO ,TEMAS TBK.,4,TMAS, PRESIDENT COMMISIONER ,TEMAS TBK.
 THEO LEKATOMPESSY ,TEMAS TBK.,4,TMAS, COMMISSIONER  - INDEPENDENT,TEMAS TBK.
 ALFRED NATSIR ,TEMAS TBK.,4,TMAS, COMMISSIONER  - INDEPENDENT,TEMAS TBK.
 GOENAWAN MOHAMAD ,TEMPO INTIMEDIA TBK.,4,TMPO, PRESIDENT COMMISIONER ,TEMPO INTIMEDIA TBK.
 IR LEONARDI KUSEN MBA ,TEMPO INTIMEDIA TBK.,4,TMPO, COMMISSIONER  - INDEPENDENT,TEMPO INTIMEDIA TBK.
 BAMBANG HARYMURTI ,TEMPO INTIMEDIA TBK.,4,TMPO, COMMISSIONER ,TEMPO INTIMEDIA TBK.
 IR. KRISTIANTO INDRAWAN MM ,TEMPO INTIMEDIA TBK.,4,TMPO, COMMISSIONER ,TEMPO INTIMEDIA TBK.
 C PAUL TEHUSIJARANA ,TEMPO INTIMEDIA TBK.,4,TMPO, COMMISSIONER  - INDEPENDENT,TEMPO INTIMEDIA TBK.
 ACHMAD SUTJIPTO ,TRIMUDA NUANSA CITRA TBK.,4,TNCA, PRESIDENT COMMISIONER  - INDEPENDENT,TRIMUDA NUANSA CITRA TBK.
 ANDY RAHARJA ,TRIMUDA NUANSA CITRA TBK.,4,TNCA, COMMISSIONER ,TRIMUDA NUANSA CITRA TBK.
 BACELIUS RURU ,TBS ENERGI UTAMA TBK.,4,TOBA, PRESIDENT COMMISIONER  - INDEPENDENT,TBS ENERGI UTAMA TBK.
 DR. AHMAD FUAD RAHMANY ,TBS ENERGI UTAMA TBK.,4,TOBA, COMMISSIONER  - INDEPENDENT,TBS ENERGI UTAMA TBK.
 YASMIN S. WIRJAWAN ,TBS ENERGI UTAMA TBK.,4,TOBA, COMMISSIONER  - INDEPENDENT,TBS ENERGI UTAMA TBK.
 KANG TZU PING (FRANCES KANG) ,TBS ENERGI UTAMA TBK.,4,TOBA, COMMISSIONER  - INDEPENDENT,TBS ENERGI UTAMA TBK.
 TAN NGO MOY ,ROHARTINDO NUSANTARA LUAS TBK.,4,TOOL, PRESIDENT COMMISIONER ,ROHARTINDO NUSANTARA LUAS TBK.
 KUKUH KOMANDOKO ,ROHARTINDO NUSANTARA LUAS TBK.,4,TOOL, COMMISSIONER  - INDEPENDENT,ROHARTINDO NUSANTARA LUAS TBK.
 HEBER SIHOMBING ,TOTALINDO EKA PERSADA TBK.,4,TOPS, COMMISSIONER  - INDEPENDENT,TOTALINDO EKA PERSADA TBK.
 WALTER SIHOMBING ,TOTALINDO EKA PERSADA TBK.,4,TOPS, COMMISSIONER ,TOTALINDO EKA PERSADA TBK.
 ROY TUA PARHISARAN ,TOTALINDO EKA PERSADA TBK.,4,TOPS, PRESIDENT COMMISIONER ,TOTALINDO EKA PERSADA TBK.
 ROBI CAHYADI ,TOPINDO SOLUSI KOMUNIKA TBK.,4,TOSK, PRESIDENT COMMISIONER ,TOPINDO SOLUSI KOMUNIKA TBK.
 MUHAMMAD FAHMI ,TOPINDO SOLUSI KOMUNIKA TBK.,4,TOSK, COMMISSIONER  - INDEPENDENT,TOPINDO SOLUSI KOMUNIKA TBK.
 REYNO STEPHANUS ADHIPUTRANT ,TOTAL BANGUN PERSADA TBK.,4,TOTL, PRESIDENT COMMISIONER  - INDEPENDENT,TOTAL BANGUN PERSADA TBK.
 PINARTO SUTANTO ,TOTAL BANGUN PERSADA TBK.,4,TOTL, COMMISSIONER ,TOTAL BANGUN PERSADA TBK.
 LILIANA KOMAJAYA ,TOTAL BANGUN PERSADA TBK.,4,TOTL, COMMISSIONER ,TOTAL BANGUN PERSADA TBK.
 WIBOWO ,TOTAL BANGUN PERSADA TBK.,4,TOTL, COMMISSIONER ,TOTAL BANGUN PERSADA TBK.
 RUDI SURYAJAYA KOMAJAYA ,TOTAL BANGUN PERSADA TBK.,4,TOTL, COMMISSIONER ,TOTAL BANGUN PERSADA TBK.
 RUSDY DARYONO ,TOTAL BANGUN PERSADA TBK.,4,TOTL, COMMISSIONER  - INDEPENDENT,TOTAL BANGUN PERSADA TBK.
 BENNY SURYANTO ,SURYA TOTO INDONESIA TBK.,4,TOTO, PRESIDENT COMMISIONER ,SURYA TOTO INDONESIA TBK.
 HIROMOTO HARANO ,SURYA TOTO INDONESIA TBK.,4,TOTO, VICE PRESIDENT COMMISIONER ,SURYA TOTO INDONESIA TBK.
 UMARSONO ANDY ,SURYA TOTO INDONESIA TBK.,4,TOTO, COMMISSIONER ,SURYA TOTO INDONESIA TBK.
 GUNAWAN SUMANA ,SURYA TOTO INDONESIA TBK.,4,TOTO, COMMISSIONER  - INDEPENDENT,SURYA TOTO INDONESIA TBK.
