Source,Target,Weight,Emiten,Position,Company
 JULIUS ASLAN ,ADARO ANDALAN INDONESIA TBK.,5,AADI, PRESIDENT DIRECTOR ,ADARO ANDALAN INDONESIA TBK.
 PRIYADI ,ADARO ANDALAN INDONESIA TBK.,5,AADI, DIRECTOR ,ADARO ANDALAN INDONESIA TBK.
 LIE LUCKMAN ,ADARO ANDALAN INDONESIA TBK.,5,AADI, DIRECTOR ,ADARO ANDALAN INDONESIA TBK.
 SUSANTI ,ADARO ANDALAN INDONESIA TBK.,5,AADI, DIRECTOR ,ADARO ANDALAN INDONESIA TBK.
 DJAP TET FA ,ASTRA AGRO LESTARI TBK.,5,AALI, PRESIDENT DIRECTOR ,ASTRA AGRO LESTARI TBK.
 EKO PRASETYO ,ASTRA AGRO LESTARI TBK.,5,AALI, DIRECTOR ,ASTRA AGRO LESTARI TBK.
 WIDAYANTO ,ASTRA AGRO LESTARI TBK.,5,AALI, DIRECTOR ,ASTRA AGRO LESTARI TBK.
 TINGNING SUKOWIGNJO ,ASTRA AGRO LESTARI TBK.,5,AALI, DIRECTOR ,ASTRA AGRO LESTARI TBK.
 ARIEF CATUR IRAWAN ,ASTRA AGRO LESTARI TBK.,5,AALI, DIRECTOR ,ASTRA AGRO LESTARI TBK.
 BANDUNG SAHARI ,ASTRA AGRO LESTARI TBK.,5,AALI, DIRECTOR ,ASTRA AGRO LESTARI TBK.
 VERONICA LUSI HERDIYANTI ,ASTRA AGRO LESTARI TBK.,5,AALI, DIRECTOR ,ASTRA AGRO LESTARI TBK.
 RONNY WILIMAS SUGIADHA ,MAHAKA MEDIA TBK.,5,ABBA, PRESIDENT DIRECTOR ,MAHAKA MEDIA TBK.
 MUHAMMAD FADRI ATTAMIMI ,MAHAKA MEDIA TBK.,5,ABBA, DIRECTOR ,MAHAKA MEDIA TBK.
 JULIEN PIERRE COMBARET ,ASURANSI BINA DANA ARTA TBK.,5,ABDA, DIRECTOR ,ASURANSI BINA DANA ARTA TBK.
 LIANI CHANDRA ,ASURANSI BINA DANA ARTA TBK.,5,ABDA, DIRECTOR ,ASURANSI BINA DANA ARTA TBK.
 IWAN KURNIAWAN ,ASURANSI BINA DANA ARTA TBK.,5,ABDA, DIRECTOR ,ASURANSI BINA DANA ARTA TBK.
 VINCENT CITIZEN SOEGIANTO ,ASURANSI BINA DANA ARTA TBK.,5,ABDA, PRESIDENT DIRECTOR ,ASURANSI BINA DANA ARTA TBK.
  ,ASURANSI BINA DANA ARTA TBK.,5,ABDA,  ,ASURANSI BINA DANA ARTA TBK.
 ACHMAD ANANDA DJAJANEGARA ,ABM INVESTAMA TBK.,5,ABMM, PRESIDENT DIRECTOR ,ABM INVESTAMA TBK.
 HARIS MUSTARTO ,ABM INVESTAMA TBK.,5,ABMM, DIRECTOR ,ABM INVESTAMA TBK.
 FERIWAN SINATRA ,ABM INVESTAMA TBK.,5,ABMM, DIRECTOR ,ABM INVESTAMA TBK.
 HANS CHRISTIAN MANOE ,ABM INVESTAMA TBK.,5,ABMM, DIRECTOR ,ABM INVESTAMA TBK.
 PRABOWO WIDYA KRISNADI ,ASPIRASI HIDUP INDONESIA TBK.,5,ACES, PRESIDENT DIRECTOR ,ASPIRASI HIDUP INDONESIA TBK.
 SUHARNO ,ASPIRASI HIDUP INDONESIA TBK.,5,ACES, DIRECTOR ,ASPIRASI HIDUP INDONESIA TBK.
 GREGORY SUGYONO WIDJAJA ,ASPIRASI HIDUP INDONESIA TBK.,5,ACES, DIRECTOR ,ASPIRASI HIDUP INDONESIA TBK.
 TERESA LUCIA WIBOWO ,ASPIRASI HIDUP INDONESIA TBK.,5,ACES, DIRECTOR ,ASPIRASI HIDUP INDONESIA TBK.
 CHUNG TAE SUNG ,SAMCRO HYOSUNG ADILESTARI TBK.,5,ACRO, PRESIDENT DIRECTOR ,SAMCRO HYOSUNG ADILESTARI TBK.
 SUWARDI ,SAMCRO HYOSUNG ADILESTARI TBK.,5,ACRO, DIRECTOR ,SAMCRO HYOSUNG ADILESTARI TBK.
" CAHYA WULANDARI, SH ",SAMCRO HYOSUNG ADILESTARI TBK.,5,ACRO, DIRECTOR ,SAMCRO HYOSUNG ADILESTARI TBK.
 ASWINTH MARATIMBO ,SAMCRO HYOSUNG ADILESTARI TBK.,5,ACRO, DIRECTOR ,SAMCRO HYOSUNG ADILESTARI TBK.
 IDOT SUPRIADI ,ACSET INDONUSA TBK.,5,ACST, PRESIDENT DIRECTOR ,ACSET INDONUSA TBK.
 DAVID WIDJAJA ,ACSET INDONUSA TBK.,5,ACST, DIRECTOR ,ACSET INDONUSA TBK.
 SOEHARSONO TJATUR NUGROHO ,ACSET INDONUSA TBK.,5,ACST, DIRECTOR ,ACSET INDONUSA TBK.
 TJATUR HARIPRIAMBODO ,ACSET INDONUSA TBK.,5,ACST, DIRECTOR ,ACSET INDONUSA TBK.
 HASNANTO WAHYUDI ,ACSET INDONUSA TBK.,5,ACST, DIRECTOR ,ACSET INDONUSA TBK.
 ACHMAD WACHID ABDULLAH ,ADHI COMMUTER PROPERTI TBK.,5,ADCP, PRESIDENT DIRECTOR ,ADHI COMMUTER PROPERTI TBK.
 FARID BUDIYANTO ,ADHI COMMUTER PROPERTI TBK.,5,ADCP, DIRECTOR ,ADHI COMMUTER PROPERTI TBK.
 WIHARDJO HADISEPUTRO ,AKASHA WIRA INTERNATIONAL TBK.,5,ADES, PRESIDENT DIRECTOR ,AKASHA WIRA INTERNATIONAL TBK.
 FANY SOEGIARTO ,AKASHA WIRA INTERNATIONAL TBK.,5,ADES, DIRECTOR ,AKASHA WIRA INTERNATIONAL TBK.
 MOEHARMEIN Z. C ,ADHI KARYA (PERSERO) TBK.,5,ADHI, PRESIDENT DIRECTOR ,ADHI KARYA (PERSERO) TBK.
 KI SYAHGOLANG PERMATA ,ADHI KARYA (PERSERO) TBK.,5,ADHI, DIRECTOR ,ADHI KARYA (PERSERO) TBK.
 BANI IQBAL ,ADHI KARYA (PERSERO) TBK.,5,ADHI, DIRECTOR ,ADHI KARYA (PERSERO) TBK.
 A. SUKO WIDIGDO ,ADHI KARYA (PERSERO) TBK.,5,ADHI, DIRECTOR ,ADHI KARYA (PERSERO) TBK.
 HARIMAWAN ,ADHI KARYA (PERSERO) TBK.,5,ADHI, DIRECTOR ,ADHI KARYA (PERSERO) TBK.
 VERA KIRANA ,ADHI KARYA (PERSERO) TBK.,5,ADHI, DIRECTOR ,ADHI KARYA (PERSERO) TBK.
 YAN ARIANTO ,ADHI KARYA (PERSERO) TBK.,5,ADHI, DIRECTOR ,ADHI KARYA (PERSERO) TBK.
 I DEWA MADE SUSILA ,ADIRA DINAMIKA MULTI FINANCE TBK.,5,ADMF, PRESIDENT DIRECTOR ,ADIRA DINAMIKA MULTI FINANCE TBK.
 SWANDAJANI GUNADI ,ADIRA DINAMIKA MULTI FINANCE TBK.,5,ADMF, DIRECTOR ,ADIRA DINAMIKA MULTI FINANCE TBK.
 NIKO KURNIAWAN BONGGOWARSITO ,ADIRA DINAMIKA MULTI FINANCE TBK.,5,ADMF, DIRECTOR ,ADIRA DINAMIKA MULTI FINANCE TBK.
 DENNY RIZA FARIB ,ADIRA DINAMIKA MULTI FINANCE TBK.,5,ADMF, DIRECTOR ,ADIRA DINAMIKA MULTI FINANCE TBK.
 SIGIT HENDRA GUNAWAN ,ADIRA DINAMIKA MULTI FINANCE TBK.,5,ADMF, DIRECTOR ,ADIRA DINAMIKA MULTI FINANCE TBK.
 SYLVANUS GANI K. MENDROFA ,ADIRA DINAMIKA MULTI FINANCE TBK.,5,ADMF, DIRECTOR ,ADIRA DINAMIKA MULTI FINANCE TBK.
 RICKY GUNAWAN ,ADIRA DINAMIKA MULTI FINANCE TBK.,5,ADMF, DIRECTOR ,ADIRA DINAMIKA MULTI FINANCE TBK.
" GAUTAMA HARTARTO, MA ",POLYCHEM INDONESIA TBK,5,ADMG, PRESIDENT DIRECTOR ,POLYCHEM INDONESIA TBK
 DJALI HALIM ,POLYCHEM INDONESIA TBK,5,ADMG, VICE PRESIDEN DIRECTOR ,POLYCHEM INDONESIA TBK
 GUNAWAN HALIM ,POLYCHEM INDONESIA TBK,5,ADMG, DIRECTOR ,POLYCHEM INDONESIA TBK
 DJUNALI DJUWATI ,POLYCHEM INDONESIA TBK,5,ADMG, DIRECTOR ,POLYCHEM INDONESIA TBK
 WIJI SANTOSO ,POLYCHEM INDONESIA TBK,5,ADMG, DIRECTOR ,POLYCHEM INDONESIA TBK
 IWAN DEWONO BUDIYUWONO ,ALAMTRI MINERALS INDONESIA TBK.,5,ADMR, PRESIDENT DIRECTOR ,ALAMTRI MINERALS INDONESIA TBK.
 TOTOK AZHARIYANTO ,ALAMTRI MINERALS INDONESIA TBK.,5,ADMR, DIRECTOR ,ALAMTRI MINERALS INDONESIA TBK.
 HENDRI TAMRIN ,ALAMTRI MINERALS INDONESIA TBK.,5,ADMR, DIRECTOR ,ALAMTRI MINERALS INDONESIA TBK.
 HERI GUNAWAN ,ALAMTRI MINERALS INDONESIA TBK.,5,ADMR, DIRECTOR ,ALAMTRI MINERALS INDONESIA TBK.
 WITO KRISNAHADI ,ALAMTRI MINERALS INDONESIA TBK.,5,ADMR, DIRECTOR ,ALAMTRI MINERALS INDONESIA TBK.
 MOHAMMAD SYAH INDRA AMAN ,ALAMTRI RESOURCES INDONESIA TBK.,5,ADRO, DIRECTOR ,ALAMTRI RESOURCES INDONESIA TBK.
 IWAN DEWONO BUDIYUWONO ,ALAMTRI RESOURCES INDONESIA TBK.,5,ADRO, PRESIDENT DIRECTOR ,ALAMTRI RESOURCES INDONESIA TBK.
 LANY DJUWITA WONG ,ALAMTRI RESOURCES INDONESIA TBK.,5,ADRO, DIRECTOR ,ALAMTRI RESOURCES INDONESIA TBK.
 OEY JOHAN SINATRA SUMAWI ,ANUGERAH SPAREPARTS SEJAHTERA TBK.,5,AEGS, PRESIDENT DIRECTOR ,ANUGERAH SPAREPARTS SEJAHTERA TBK.
 JEIHAN SUMAWI PUTRA ,ANUGERAH SPAREPARTS SEJAHTERA TBK.,5,AEGS, DIRECTOR ,ANUGERAH SPAREPARTS SEJAHTERA TBK.
 AGNES KRISTINA ,ASIA SEJAHTERA MINA TBK.,5,AGAR, DIRECTOR ,ASIA SEJAHTERA MINA TBK.
 INDRA WIDYADHARMA ,ASIA SEJAHTERA MINA TBK.,5,AGAR, PRESIDENT DIRECTOR ,ASIA SEJAHTERA MINA TBK.
" RACHMAT HARSONO, BSC., MBA ",SAMATOR INDO GAS TBK.,5,AGII, PRESIDENT DIRECTOR ,SAMATOR INDO GAS TBK.
" IMELDA MULYANI HARSONO, BA., MM., LL.M. ",SAMATOR INDO GAS TBK.,5,AGII, VICE PRESIDENT ,SAMATOR INDO GAS TBK.
 IR. SIGIT PURWANTO ,SAMATOR INDO GAS TBK.,5,AGII, DIRECTOR ,SAMATOR INDO GAS TBK.
 BUDI SUSANTO ,SAMATOR INDO GAS TBK.,5,AGII, DIRECTOR ,SAMATOR INDO GAS TBK.
 ANDY PURWOHARDONO ,SAMATOR INDO GAS TBK.,5,AGII, DIRECTOR ,SAMATOR INDO GAS TBK.
 NONI MULIANTI ,SAMATOR INDO GAS TBK.,5,AGII, DIRECTOR ,SAMATOR INDO GAS TBK.
 IDA BAGUS KETUT SUBAGIA ,BANK RAYA INDONESIA TBK.,5,AGRO, PRESIDENT DIRECTOR ,BANK RAYA INDONESIA TBK.
 RUSTARTI SURI PERTIWI ,BANK RAYA INDONESIA TBK.,5,AGRO, DIRECTOR ,BANK RAYA INDONESIA TBK.
 DANAR WIDYANTORO ,BANK RAYA INDONESIA TBK.,5,AGRO, DIRECTOR ,BANK RAYA INDONESIA TBK.
 LUKMAN HAKIM ,BANK RAYA INDONESIA TBK.,5,AGRO, DIRECTOR ,BANK RAYA INDONESIA TBK.
 KICKY ANDRIE DAVETRA ,BANK RAYA INDONESIA TBK.,5,AGRO, DIRECTOR ,BANK RAYA INDONESIA TBK.
 ALEXANDER FRANS RORI ,BANK IBK INDONESIA TBK.,5,AGRS, DIRECTOR ,BANK IBK INDONESIA TBK.
 EDWIN RUDIANTO ,BANK IBK INDONESIA TBK.,5,AGRS, DIRECTOR ,BANK IBK INDONESIA TBK.
 OH IN TAEK ,BANK IBK INDONESIA TBK.,5,AGRS, PRESIDENT DIRECTOR ,BANK IBK INDONESIA TBK.
 PARK JIN JE ,BANK IBK INDONESIA TBK.,5,AGRS, DIRECTOR ,BANK IBK INDONESIA TBK.
 ANDREAS MIKHAEL SUMUAL * ,BANK IBK INDONESIA TBK.,5,AGRS, DIRECTOR ,BANK IBK INDONESIA TBK.
 YULIANTO PIETTOJO ,ASURANSI HARTA AMAN PRATAMA TBK.,5,AHAP, PRESIDENT DIRECTOR ,ASURANSI HARTA AMAN PRATAMA TBK.
 JOSEF GUNAWAN SETYO ,ASURANSI HARTA AMAN PRATAMA TBK.,5,AHAP, DIRECTOR ,ASURANSI HARTA AMAN PRATAMA TBK.
 INDRADI PRASODJO ,ASURANSI HARTA AMAN PRATAMA TBK.,5,AHAP, DIRECTOR ,ASURANSI HARTA AMAN PRATAMA TBK.
 TREESJE HALIM ,ASURANSI HARTA AMAN PRATAMA TBK.,5,AHAP, DIRECTOR ,ASURANSI HARTA AMAN PRATAMA TBK.
 SUTJIANTA ,ASURANSI HARTA AMAN PRATAMA TBK.,5,AHAP, DIRECTOR ,ASURANSI HARTA AMAN PRATAMA TBK.
 CALVIN LUTVI ,ARTHA MAHIYA INVESTAMA TBK.,5,AIMS, PRESIDENT DIRECTOR ,ARTHA MAHIYA INVESTAMA TBK.
 PANDU ANDAKARA ,ARTHA MAHIYA INVESTAMA TBK.,5,AIMS, DIRECTOR ,ARTHA MAHIYA INVESTAMA TBK.
 M. ADIL TRIANSYAH ,ARTHA MAHIYA INVESTAMA TBK.,5,AIMS, DIRECTOR ,ARTHA MAHIYA INVESTAMA TBK.
 GERRY MUSTIKA ,FKS FOOD SEJAHTERA TBK.,5,AISA, PRESIDENT DIRECTOR ,FKS FOOD SEJAHTERA TBK.
 SUKAWATI WIJAYA ,FKS FOOD SEJAHTERA TBK.,5,AISA, DIRECTOR ,FKS FOOD SEJAHTERA TBK.
 FARRY ONGKO WIDJAJA ,FKS FOOD SEJAHTERA TBK.,5,AISA, DIRECTOR ,FKS FOOD SEJAHTERA TBK.
 DRS. IRWAN SURYADI ,ANUGERAH KAGUM KARYA UTAMA TBK.,5,AKKU, PRESIDENT DIRECTOR ,ANUGERAH KAGUM KARYA UTAMA TBK.
 HENI SUPARTINI ,ANUGERAH KAGUM KARYA UTAMA TBK.,5,AKKU, DIRECTOR ,ANUGERAH KAGUM KARYA UTAMA TBK.
 WILSON PRIBADI ,ARGHA KARYA PRIMA INDUSTRY TBK.,5,AKPI, PRESIDENT DIRECTOR ,ARGHA KARYA PRIMA INDUSTRY TBK.
 JEYSON PRIBADI ,ARGHA KARYA PRIMA INDUSTRY TBK.,5,AKPI, DIRECTOR ,ARGHA KARYA PRIMA INDUSTRY TBK.
 JIMMY TJAHJANTO ,ARGHA KARYA PRIMA INDUSTRY TBK.,5,AKPI, DIRECTOR ,ARGHA KARYA PRIMA INDUSTRY TBK.
 ELIUS PRIBADI ,ARGHA KARYA PRIMA INDUSTRY TBK.,5,AKPI, DIRECTOR ,ARGHA KARYA PRIMA INDUSTRY TBK.
 DENDI WIRAPUTRA ,ARGHA KARYA PRIMA INDUSTRY TBK.,5,AKPI, DIRECTOR ,ARGHA KARYA PRIMA INDUSTRY TBK.
 HARYANTO ADIKOESOEMO ,AKR CORPORINDO TBK.,5,AKRA, PRESIDENT DIRECTOR ,AKR CORPORINDO TBK.
 JIMMY TANDYO ,AKR CORPORINDO TBK.,5,AKRA, DIRECTOR ,AKR CORPORINDO TBK.
 BAMBANG SOETIONO SOEDIJANTO ,AKR CORPORINDO TBK.,5,AKRA, DIRECTOR ,AKR CORPORINDO TBK.
 MERY SOFI ,AKR CORPORINDO TBK.,5,AKRA, DIRECTOR ,AKR CORPORINDO TBK.
 SURESH VEMBU ,AKR CORPORINDO TBK.,5,AKRA, DIRECTOR ,AKR CORPORINDO TBK.
 NERY POLIM ,AKR CORPORINDO TBK.,5,AKRA, DIRECTOR ,AKR CORPORINDO TBK.
 TERMURTI TIBAN ,AKR CORPORINDO TBK.,5,AKRA, DIRECTOR ,AKR CORPORINDO TBK.
 DODDY HERMAWAN ,MINERAL SUMBERDAYA MANDIRI TBK.,5,AKSI, PRESIDENT DIRECTOR ,MINERAL SUMBERDAYA MANDIRI TBK.
 RONI TAN ,MINERAL SUMBERDAYA MANDIRI TBK.,5,AKSI, DIRECTOR ,MINERAL SUMBERDAYA MANDIRI TBK.
 HERWANTO SUTANTO ,ALKINDO NARATAMA TBK.,5,ALDO, PRESIDENT DIRECTOR ,ALKINDO NARATAMA TBK.
 WILLY SOESANTO ,ALKINDO NARATAMA TBK.,5,ALDO, DIRECTOR ,ALKINDO NARATAMA TBK.
 KUSWARA ,ALKINDO NARATAMA TBK.,5,ALDO, DIRECTOR ,ALKINDO NARATAMA TBK.
 FAISAL MOHAMAD NUR ,ANCARA LOGISTICS INDONESIA TBK.,5,ALII, PRESIDENT DIRECTOR ,ANCARA LOGISTICS INDONESIA TBK.
 RAHUL NALIN RATHOD ,ANCARA LOGISTICS INDONESIA TBK.,5,ALII, DIRECTOR ,ANCARA LOGISTICS INDONESIA TBK.
 VISHAL MANHARLAL PAREKH ,ANCARA LOGISTICS INDONESIA TBK.,5,ALII, DIRECTOR ,ANCARA LOGISTICS INDONESIA TBK.
 MUNAWIR ,ANCARA LOGISTICS INDONESIA TBK.,5,ALII, DIRECTOR ,ANCARA LOGISTICS INDONESIA TBK.
 AULIA ,ANCARA LOGISTICS INDONESIA TBK.,5,ALII, DIRECTOR ,ANCARA LOGISTICS INDONESIA TBK.
 SUCIPTO TANRO ,ALAKASA INDUSTRINDO TBK,5,ALKA, PRESIDENT DIRECTOR ,ALAKASA INDUSTRINDO TBK
 FENDRA HARTANTO ,ALAKASA INDUSTRINDO TBK,5,ALKA, VICE PRESIDEN DIRECTOR ,ALAKASA INDUSTRINDO TBK
 MARADONA PARHORASAN MANURUNG ,ALAKASA INDUSTRINDO TBK,5,ALKA, DIRECTOR ,ALAKASA INDUSTRINDO TBK
 ALIM MARKUS ,ALUMINDO LIGHT METAL INDUSTRY TBK.,5,ALMI, PRESIDENT DIRECTOR ,ALUMINDO LIGHT METAL INDUSTRY TBK.
 ALIM MULIA SASTRA ,ALUMINDO LIGHT METAL INDUSTRY TBK.,5,ALMI, DIRECTOR ,ALUMINDO LIGHT METAL INDUSTRY TBK.
 ALIM PRAKASA ,ALUMINDO LIGHT METAL INDUSTRY TBK.,5,ALMI, DIRECTOR ,ALUMINDO LIGHT METAL INDUSTRY TBK.
 WIBOWO SURYADINATA ,ALUMINDO LIGHT METAL INDUSTRY TBK.,5,ALMI, DIRECTOR ,ALUMINDO LIGHT METAL INDUSTRY TBK.
 HUDA NARDONO ,TRI BANYAN TIRTA TBK.,5,ALTO, PRESIDENT DIRECTOR ,TRI BANYAN TIRTA TBK.
 ABUBAKARSYAH BOETJE ,TRI BANYAN TIRTA TBK.,5,ALTO, DIRECTOR ,TRI BANYAN TIRTA TBK.
 PANKAJ OBEROI ,ASURANSI MULTI ARTHA GUNA TBK.,5,AMAG, PRESIDENT DIRECTOR ,ASURANSI MULTI ARTHA GUNA TBK.
 ARUN ARJANDAS NANWANI ,ASURANSI MULTI ARTHA GUNA TBK.,5,AMAG, VICE PRESIDEN DIRECTOR ,ASURANSI MULTI ARTHA GUNA TBK.
 KAREL FITRIJANTO ,ASURANSI MULTI ARTHA GUNA TBK.,5,AMAG, VICE PRESIDEN DIRECTOR ,ASURANSI MULTI ARTHA GUNA TBK.
 THOMAS PAITIMUSA ,ASURANSI MULTI ARTHA GUNA TBK.,5,AMAG, VICE PRESIDEN DIRECTOR ,ASURANSI MULTI ARTHA GUNA TBK.
 DINESH RAMU ,ASURANSI MULTI ARTHA GUNA TBK.,5,AMAG, DIRECTOR ,ASURANSI MULTI ARTHA GUNA TBK.
 PEGGY WYSTAN ,ASURANSI MULTI ARTHA GUNA TBK.,5,AMAG, DIRECTOR ,ASURANSI MULTI ARTHA GUNA TBK.
 ADI SAPUTRA TEDJA SURYA ,MAKMUR BERKAH AMANDA TBK.,5,AMAN, PRESIDENT DIRECTOR ,MAKMUR BERKAH AMANDA TBK.
 RICHARD B. T. MALESSY ,MAKMUR BERKAH AMANDA TBK.,5,AMAN, DIRECTOR ,MAKMUR BERKAH AMANDA TBK.
 VISHAL TULSIAN ,BANK AMAR INDONESIA TBK.,5,AMAR, PRESIDENT DIRECTOR ,BANK AMAR INDONESIA TBK.
 THIO SUCY ,BANK AMAR INDONESIA TBK.,5,AMAR, DIRECTOR ,BANK AMAR INDONESIA TBK.
 KEVIN KANE WARDHANA ,BANK AMAR INDONESIA TBK.,5,AMAR, DIRECTOR ,BANK AMAR INDONESIA TBK.
 ABRAHAM CHRISTO LUMBAN BATU ,BANK AMAR INDONESIA TBK.,5,AMAR, DIRECTOR ,BANK AMAR INDONESIA TBK.
 MAMPEI CHIYODA ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, PRESIDENT DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 MOHAMAD AMIEN ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, VICE PRESIDEN DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 TORU ITAI ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 TAKASHI NEKODA ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 SAMUEL NUGROHO SETYONO ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 KIICHIRO YOSHIZAWA ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 TEGUH ARI WIDODO ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 KAZUHIRO ONOGAWA ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 CHRISTOFORUS ,ASAHIMAS FLAT GLASS TBK.,5,AMFG, DIRECTOR ,ASAHIMAS FLAT GLASS TBK.
 RUDY SUSANTO ,ATELIERS MECANIQUES D INDONESIE TBK.,5,AMIN, PRESIDENT DIRECTOR ,ATELIERS MECANIQUES D INDONESIE TBK.
 LAI KIEN HSIN ,ATELIERS MECANIQUES D INDONESIE TBK.,5,AMIN, DIRECTOR ,ATELIERS MECANIQUES D INDONESIE TBK.
 LINDA TATY ,ATELIERS MECANIQUES D INDONESIE TBK.,5,AMIN, DIRECTOR ,ATELIERS MECANIQUES D INDONESIE TBK.
 CHONG KIM KONG ,ATELIERS MECANIQUES D INDONESIE TBK.,5,AMIN, DIRECTOR ,ATELIERS MECANIQUES D INDONESIE TBK.
 LAI MAY LING ,ATELIERS MECANIQUES D INDONESIE TBK.,5,AMIN, DIRECTOR ,ATELIERS MECANIQUES D INDONESIE TBK.
 ARIEF WIDYAWAN SIDARTO ,AMMAN MINERAL INTERNASIONAL TBK.,5,AMMN, PRESIDENT DIRECTOR ,AMMAN MINERAL INTERNASIONAL TBK.
 ADITYA SASMITO ,AMMAN MINERAL INTERNASIONAL TBK.,5,AMMN, DIRECTOR ,AMMAN MINERAL INTERNASIONAL TBK.
 DAVID ALEXANDER GIBBS ,AMMAN MINERAL INTERNASIONAL TBK.,5,AMMN, DIRECTOR ,AMMAN MINERAL INTERNASIONAL TBK.
 IRWIN KA PUI WAN ,AMMAN MINERAL INTERNASIONAL TBK.,5,AMMN, DIRECTOR ,AMMAN MINERAL INTERNASIONAL TBK.
 LAL NAVEEN CHANDRA ,AMMAN MINERAL INTERNASIONAL TBK.,5,AMMN, DIRECTOR ,AMMAN MINERAL INTERNASIONAL TBK.
 HARTONO LIMMANTORO ,AGUNG MENJANGAN MAS TBK.,5,AMMS, PRESIDENT DIRECTOR ,AGUNG MENJANGAN MAS TBK.
 SULAIMAN ,AGUNG MENJANGAN MAS TBK.,5,AMMS, DIRECTOR ,AGUNG MENJANGAN MAS TBK.
 IR. RONALDUS GANDAHUSADA ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.,5,AMOR, PRESIDENT DIRECTOR ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.
 FX EDDY HARTANTO ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.,5,AMOR, DIRECTOR ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.
 ARIEF CAHYADI WANA ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.,5,AMOR, DIRECTOR ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.
 STEVEN SATYA YUDHA ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.,5,AMOR, DIRECTOR ,ASHMORE ASSET MANAGEMENT INDONESIA TBK.
 ANGGARA HANS PRAWIRA ,SUMBER ALFARIA TRIJAYA TBK.,5,AMRT, PRESIDENT DIRECTOR ,SUMBER ALFARIA TRIJAYA TBK.
 BAMBANG SETYAWAN DJOJO ,SUMBER ALFARIA TRIJAYA TBK.,5,AMRT, DIRECTOR ,SUMBER ALFARIA TRIJAYA TBK.
 TOMIN WIDIAN ,SUMBER ALFARIA TRIJAYA TBK.,5,AMRT, DIRECTOR ,SUMBER ALFARIA TRIJAYA TBK.
 HARRYANTO SUSANTO ,SUMBER ALFARIA TRIJAYA TBK.,5,AMRT, DIRECTOR ,SUMBER ALFARIA TRIJAYA TBK.
 SOLIHIN ,SUMBER ALFARIA TRIJAYA TBK.,5,AMRT, DIRECTOR ,SUMBER ALFARIA TRIJAYA TBK.
 SOENG PETER SURYADI ,SUMBER ALFARIA TRIJAYA TBK.,5,AMRT, DIRECTOR ,SUMBER ALFARIA TRIJAYA TBK.
 FRANCIS INDARTO ,ANDIRA AGRO TBK.,5,ANDI, PRESIDENT DIRECTOR ,ANDIRA AGRO TBK.
 KAHAR ANWAR ,ANDIRA AGRO TBK.,5,ANDI, DIRECTOR ,ANDIRA AGRO TBK.
 SUHENDRO ,AUSTINDO NUSANTARA JAYA TBK.,5,ANJT, PRESIDENT DIRECTOR ,AUSTINDO NUSANTARA JAYA TBK.
 ISEN HENRY TJONG ,AUSTINDO NUSANTARA JAYA TBK.,5,ANJT, DIRECTOR ,AUSTINDO NUSANTARA JAYA TBK.
 HILMAN LUKITO ,AUSTINDO NUSANTARA JAYA TBK.,5,ANJT, DIRECTOR ,AUSTINDO NUSANTARA JAYA TBK.
 UNTUNG BUDIHARTO ,ANEKA TAMBANG TBK.,5,ANTM, PRESIDENT DIRECTOR ,ANEKA TAMBANG TBK.
 HARTONO ,ANEKA TAMBANG TBK.,5,ANTM, DIRECTOR ,ANEKA TAMBANG TBK.
 I DEWA WIRANTAYA ,ANEKA TAMBANG TBK.,5,ANTM, DIRECTOR ,ANEKA TAMBANG TBK.
 ARIANTO SABTONUGROHO RUDJITO ,ANEKA TAMBANG TBK.,5,ANTM, DIRECTOR ,ANEKA TAMBANG TBK.
 HANDI SUTANTO ,ANEKA TAMBANG TBK.,5,ANTM, DIRECTOR ,ANEKA TAMBANG TBK.
 RATIH AMRI ,ANEKA TAMBANG TBK.,5,ANTM, DIRECTOR ,ANEKA TAMBANG TBK.
 ZAINAL ABIDINSYAH SIREGAR ,APEXINDO PRATAMA DUTA TBK.,5,APEX, PRESIDENT DIRECTOR ,APEXINDO PRATAMA DUTA TBK.
